date,value,zscore,outlier_zscore,outlier_iqr,outlier_both,outlier_either
2017-05-31,112.52701018141398,0.5674909011895153,False,False,False,False
2017-06-30,105.7971208812743,0.197895141048315,False,False,False,False
2017-07-31,109.03593825078708,0.3757662937905681,False,False,False,False
2017-08-31,108.21858834312657,0.3308786222479088,False,False,False,False
2017-09-30,110.62440235325154,0.46300243858052387,False,False,False,False
2017-10-31,108.96416014801112,0.3718243444844442,False,False,False,False
2017-11-30,111.786402703432,0.5268178125868058,False,False,False,False
2017-12-31,115.41643128721944,0.726173717851303,False,False,False,False
2018-01-31,112.93590410838974,0.589946762648423,False,False,False,False
2018-02-28,110.25049989367983,0.4424682577640278,False,False,False,False
2018-03-31,111.12861959697209,0.49069331834957564,False,False,False,False
2018-04-30,105.92214077592969,0.20476105234896216,False,False,False,False
2018-05-31,109.91544339332403,0.4240674406901595,False,False,False,False
2018-06-30,114.39587750685182,0.6701263843220403,False,False,False,False
2018-07-31,99.98166749732943,-0.12148112476339845,False,False,False,False
2018-08-31,103.32609826133981,0.06219016243569049,False,False,False,False
2018-09-30,110.08704601362301,0.4334916077251668,False,False,False,False
2018-10-31,109.00240853204295,0.37392489026461384,False,False,False,False
2018-11-30,96.61891988742619,-0.3061583465743715,False,False,False,False
2018-12-31,96.39129171280211,-0.31865935580018323,False,False,False,False
2019-01-31,103.86602149316694,0.09184196328788284,False,False,False,False
2019-02-28,104.76386614906464,0.14115028966382143,False,False,False,False
2019-03-31,104.33421621930928,0.1175545386342691,False,False,False,False
2019-04-30,92.75448603209597,-0.5183874493987694,False,False,False,False
2019-05-31,106.81929233260773,0.2540313147209448,False,False,False,False
2019-06-30,102.23599983840612,0.002323537995888929,False,False,False,False
2019-07-31,103.43023927509101,0.06790943587729854,False,False,False,False
2019-08-31,108.62378936930355,0.35313167495068765,False,False,False,False
2019-09-30,96.62729308744454,-0.30569850257284625,False,False,False,False
2019-10-31,101.13759394238897,-0.05799932081749526,False,False,False,False
2019-11-30,100.94244156907062,-0.0687168061345952,False,False,False,False
2019-12-31,99.18993808625429,-0.16496175579047742,False,False,False,False
